tessellator,primitive,amount,init_time,tess_time
Lyon,triangle,10,27398,7366
Lyon,triangle,10,28590,8630
Lyon,triangle,10,29387,11182
Lyon,triangle,10,30783,8096
Lyon,triangle,10,28174,9069
Lyon,triangle,10,29362,12754
Lyon,triangle,10,31229,9632
Lyon,triangle,10,29775,9306
Lyon,triangle,10,30321,8083
Lyon,triangle,10,24642,7924
Lyon,triangle,10,25373,5561
Lyon,triangle,10,17808,5123
Lyon,triangle,10,20699,6371
Lyon,triangle,10,18560,7624
Lyon,triangle,10,17482,5161
Lyon,triangle,10,17094,5042
Lyon,triangle,10,16848,5060
Lyon,triangle,10,16820,5067
Lyon,triangle,10,16898,5171
Lyon,triangle,10,20162,9273
Lyon,triangle,10,22441,7328
Lyon,triangle,10,25147,7125
Lyon,triangle,10,26383,5754
Lyon,triangle,10,17805,5063
Lyon,triangle,10,17642,4996
Lyon,triangle,10,23330,9030
Lyon,triangle,10,24173,8869
Lyon,triangle,10,30024,9506
Lyon,triangle,10,25101,7438
Lyon,triangle,10,30502,9443
Lyon,triangle,10,30427,9878
Lyon,triangle,10,30368,10097
Lyon,triangle,10,30420,9526
Lyon,triangle,10,24698,7556
Lyon,triangle,10,20055,8591
Lyon,triangle,10,21635,5589
Lyon,triangle,10,17455,8370
Lyon,triangle,10,29196,7163
Lyon,triangle,10,27540,8949
Lyon,triangle,10,30990,8901
Lyon,triangle,10,30806,8953
Lyon,triangle,10,25686,8633
Lyon,triangle,10,29609,9512
Lyon,triangle,10,29789,9627
Lyon,triangle,10,28801,9287
Lyon,triangle,10,29212,9245
Lyon,triangle,10,29944,9009
Lyon,triangle,10,29186,10004
Lyon,triangle,10,32011,9499
Lyon,triangle,10,28399,9582
Lyon,triangle,10,33493,7956
Lyon,triangle,10,30367,10103
Lyon,triangle,10,31118,9677
Lyon,triangle,10,28618,9607
Lyon,triangle,10,31427,7929
Lyon,triangle,10,28889,8931
Lyon,triangle,10,29812,9721
Lyon,triangle,10,31769,9579
Lyon,triangle,10,27120,9285
Lyon,triangle,10,23503,5377
Lyon,triangle,10,23551,7143
Lyon,triangle,10,26456,9268
Lyon,triangle,10,29931,9510
Lyon,triangle,10,26101,5585
Lyon,triangle,10,25987,8735
Lyon,triangle,10,28495,6673
Lyon,triangle,10,29754,6090
Lyon,triangle,10,25558,6226
Lyon,triangle,10,21639,6162
Lyon,triangle,10,17430,5212
Lyon,triangle,10,18808,5352
Lyon,triangle,10,18852,5246
Lyon,triangle,10,19008,5244
Lyon,triangle,10,18637,5337
Lyon,triangle,10,18991,5165
Lyon,triangle,10,19321,5271
Lyon,triangle,10,19215,5384
Lyon,triangle,10,18769,5341
Lyon,triangle,10,18883,5310
Lyon,triangle,10,19148,5373
Lyon,triangle,10,18720,5430
Lyon,triangle,10,18823,5188
Lyon,triangle,10,18796,5335
Lyon,triangle,10,18853,5348
Lyon,triangle,10,22015,7005
Lyon,triangle,10,19406,5402
Lyon,triangle,10,18222,5227
Lyon,triangle,10,18973,5479
Lyon,triangle,10,19066,5555
Lyon,triangle,10,18973,5381
Lyon,triangle,10,18983,5310
Lyon,triangle,10,18777,5201
Lyon,triangle,10,18821,5474
Lyon,triangle,10,18715,5443
Lyon,triangle,10,26122,5484
Lyon,triangle,10,19370,5260
Lyon,triangle,10,18988,5365
Lyon,triangle,10,18750,5219
Lyon,triangle,10,19059,5319
Lyon,triangle,10,18609,8327
Lyon,triangle,10,19105,5320
Lyon,triangle,10,18855,5484
Lyon,triangle,10,18984,5324
Lyon,triangle,10,18798,5422
Lyon,triangle,10,19126,5358
Lyon,triangle,10,18837,5286
Lyon,triangle,10,18320,5222
Lyon,triangle,10,18892,5454
Lyon,triangle,10,19007,5738
Lyon,triangle,10,18176,5283
Lyon,triangle,10,18380,5287
Lyon,triangle,10,18422,5355
Lyon,triangle,10,18715,5290
Lyon,triangle,10,18909,5375
Lyon,triangle,10,18886,5270
Lyon,triangle,10,19165,5407
Lyon,triangle,10,19450,5208
Lyon,triangle,10,19167,5252
Lyon,triangle,10,18948,5218
Lyon,triangle,10,19240,5508
Lyon,triangle,10,19241,5461
Lyon,triangle,10,18967,5287
Lyon,triangle,10,19168,5217
Lyon,triangle,10,18806,5405
Lyon,triangle,10,18952,5263
Lyon,triangle,10,18838,5450
Lyon,triangle,10,19007,5365
Lyon,triangle,10,18367,5306
Lyon,triangle,10,18152,5057
Lyon,triangle,10,18696,5384
Lyon,triangle,10,19048,5390
Lyon,triangle,10,18788,5387
Lyon,triangle,10,18844,5315
Lyon,triangle,10,19029,5336
Lyon,triangle,10,18544,5303
Lyon,triangle,10,18825,5263
Lyon,triangle,10,18694,5403
Lyon,triangle,10,18718,5380
Lyon,triangle,10,18708,5279
Lyon,triangle,10,18295,5303
Lyon,triangle,10,18860,5416
Lyon,triangle,10,18942,5541
Lyon,triangle,10,19027,5400
Lyon,triangle,10,18754,5405
Lyon,triangle,10,19086,5280
Lyon,triangle,10,19263,5293
Lyon,triangle,10,18822,5353
Lyon,triangle,10,19054,5491
Lyon,triangle,10,18709,5391
Lyon,triangle,10,18931,5280
Lyon,triangle,10,18566,5249
Lyon,triangle,10,18529,5240
Lyon,triangle,10,18905,5378
Lyon,triangle,10,18754,5185
Lyon,triangle,10,18934,5402
Lyon,triangle,10,18603,5372
Lyon,triangle,10,19288,5327
Lyon,triangle,10,19141,5184
Lyon,triangle,10,18934,5331
Lyon,triangle,10,18625,5257
Lyon,triangle,10,18583,5185
Lyon,triangle,10,18721,5265
Lyon,triangle,10,18538,5190
Lyon,triangle,10,18984,5169
Lyon,triangle,10,18658,7416
Lyon,triangle,10,19335,5218
Lyon,triangle,10,19226,5412
Lyon,triangle,10,19015,5296
Lyon,triangle,10,18540,5254
Lyon,triangle,10,19038,5096
Lyon,triangle,10,18821,5230
Lyon,triangle,10,18607,5173
Lyon,triangle,10,18739,5287
Lyon,triangle,10,19354,5173
